timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677340123,19,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-21,text,false,Test failed: code expected to contain /200/,823,212,4,4,http://localhost:3000/posts/:NF,19,0,0
1670677340102,53,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-23,text,false,Test failed: code expected to contain /200/,985,231,3,3,http://localhost:3000/posts/,53,0,0
1670677340136,22,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-22,text,false,Test failed: code expected to contain /200/,823,212,3,3,http://localhost:3000/posts/:NF,22,0,0
1670677340139,23,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-24,text,true,,191,123,2,2,http://localhost:3000/posts/,23,0,0
1670677340155,14,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-23,text,false,Test failed: code expected to contain /200/,823,211,2,2,http://localhost:3000/posts/:NF,14,0,0
1670677340163,21,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-24,text,false,Test failed: code expected to contain /200/,985,231,3,3,http://localhost:3000/posts/,20,0,0
1670677340170,16,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-23,text,false,Test failed: code expected to contain /200/,823,212,3,3,http://localhost:3000/posts/:NF,16,0,0
1670677340177,10,SimpleBlg_01_GET,200,OK,Thread Group 1-25,text,true,,190,117,3,3,http://localhost:3000/,10,0,1
1670677340187,6,SimpleBlg_02_health_check,200,OK,Thread Group 1-25,text,true,,165,129,2,2,http://localhost:3000/health_check,6,0,0
1670677340184,14,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-24,text,false,Test failed: code expected to contain /200/,823,211,2,2,http://localhost:3000/posts/:NF,14,0,0
1670677340194,7,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-25,text,true,,191,123,2,2,http://localhost:3000/posts/,7,0,0
1670677340199,7,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-24,text,false,Test failed: code expected to contain /200/,823,212,2,2,http://localhost:3000/posts/:NF,7,0,0
1670677340201,13,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-25,text,false,Test failed: code expected to contain /200/,985,231,1,1,http://localhost:3000/posts/,13,0,0
1670677340215,7,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-25,text,false,Test failed: code expected to contain /200/,823,211,1,1,http://localhost:3000/posts/:NF,7,0,0
1670677340222,7,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-25,text,false,Test failed: code expected to contain /200/,823,212,1,1,http://localhost:3000/posts/:NF,7,0,0
1670677340268,4,SimpleBlg_01_GET,200,OK,Thread Group 1-26,text,true,,190,117,1,1,http://localhost:3000/,4,0,1
1670677340272,3,SimpleBlg_02_health_check,200,OK,Thread Group 1-26,text,true,,165,129,1,1,http://localhost:3000/health_check,3,0,0
1670677340275,3,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-26,text,true,,191,123,1,1,http://localhost:3000/posts/,3,0,0
1670677340279,7,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-26,text,false,Test failed: code expected to contain /200/,985,231,1,1,http://localhost:3000/posts/,7,0,0
1670677340286,6,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-26,text,false,Test failed: code expected to contain /200/,823,211,1,1,http://localhost:3000/posts/:NF,6,0,0
1670677340292,5,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-26,text,false,Test failed: code expected to contain /200/,823,212,1,1,http://localhost:3000/posts/:NF,5,0,0
1670677340367,5,SimpleBlg_01_GET,200,OK,Thread Group 1-27,text,true,,190,117,1,1,http://localhost:3000/,4,0,1
1670677340372,2,SimpleBlg_02_health_check,200,OK,Thread Group 1-27,text,true,,165,129,1,1,http://localhost:3000/health_check,2,0,0
1670677340375,4,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-27,text,true,,191,123,1,1,http://localhost:3000/posts/,4,0,0
1670677340380,6,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-27,text,false,Test failed: code expected to contain /200/,985,231,1,1,http://localhost:3000/posts/,6,0,0
1670677340387,7,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-27,text,false,Test failed: code expected to contain /200/,823,211,1,1,http://localhost:3000/posts/:NF,7,0,0
1670677340394,6,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-27,text,false,Test failed: code expected to contain /200/,823,212,1,1,http://localhost:3000/posts/:NF,6,0,0
1670677340467,5,SimpleBlg_01_GET,200,OK,Thread Group 1-28,text,true,,190,117,1,1,http://localhost:3000/,5,0,1
1670677340472,2,SimpleBlg_02_health_check,200,OK,Thread Group 1-28,text,true,,165,129,1,1,http://localhost:3000/health_check,2,0,0
1670677340475,3,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-28,text,true,,191,123,1,1,http://localhost:3000/posts/,3,0,0
1670677340478,12,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-28,text,false,Test failed: code expected to contain /200/,985,231,1,1,http://localhost:3000/posts/,12,0,0
1670677340491,5,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-28,text,false,Test failed: code expected to contain /200/,823,211,1,1,http://localhost:3000/posts/:NF,5,0,0
1670677340497,7,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-28,text,false,Test failed: code expected to contain /200/,823,212,1,1,http://localhost:3000/posts/:NF,7,0,0
1670677340567,5,SimpleBlg_01_GET,200,OK,Thread Group 1-29,text,true,,190,117,1,1,http://localhost:3000/,5,0,1
1670677340572,3,SimpleBlg_02_health_check,200,OK,Thread Group 1-29,text,true,,165,129,1,1,http://localhost:3000/health_check,3,0,0
1670677340575,3,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-29,text,true,,191,123,1,1,http://localhost:3000/posts/,3,0,0
